"","hsa","nm","genes"
"1","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","HK3"
"2","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","HK1"
"3","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","HK2"
"4","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","HKDC1"
"5","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","GCK"
"6","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","GPI"
"7","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","PFKM"
"8","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","PFKP"
"9","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","PFKL"
"10","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","FBP1"
"11","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","FBP2"
"12","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","ALDOC"
"13","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","ALDOA"
"14","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","ALDOB"
"15","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","TPI1"
"16","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","GAPDH"
"17","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","GAPDHS"
"18","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","PGK2"
"19","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","PGK1"
"20","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","PGAM1"
"21","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","PGAM2"
"22","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","PGAM4"
"23","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","ENO3"
"24","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","ENO2"
"25","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","ENO1"
"26","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","ENO4"
"27","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","PKM"
"28","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","PKLR"
"29","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","PDHA2"
"30","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","PDHA1"
"31","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","PDHB"
"32","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","DLAT"
"33","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","DLD"
"34","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","LDHAL6A"
"35","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","LDHAL6B"
"36","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","LDHA"
"37","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","LDHB"
"38","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","LDHC"
"39","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","ADH1A"
"40","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","ADH1B"
"41","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","ADH1C"
"42","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","ADH7"
"43","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","ADH4"
"44","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","ADH5"
"45","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","ADH6"
"46","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","AKR1A1"
"47","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","ALDH2"
"48","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","ALDH3A2"
"49","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","ALDH1B1"
"50","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","ALDH7A1"
"51","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","ALDH9A1"
"52","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","ALDH3B1"
"53","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","ALDH3B2"
"54","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","ALDH3A1"
"55","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","ACSS1"
"56","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","ACSS2"
